W1 = [[0,3,3,8,6],
      [3,0,7,2,8],
      [3,7,0,5,2],
      [8,2,5,0,1],
      [6,8,2,1,0]]
# opt = 11

W2 = [[0,2,2,2,7,5,2],
      [2,0,4,7,9,1,3],
      [2,4,0,3,6,6,5],
      [2,7,3,0,4,9,6],
      [7,9,6,4,0,4,9],
      [5,1,6,9,4,0,2],
      [2,3,5,6,9,2,0]]
# opt = 19

W3 = [[ 0,28, 7,15, 9,24, 8,30,29,16],
      [28, 0,28, 7,12,14, 2,26,19, 0],
      [ 7,28, 0,15,20, 1,19, 0, 3,17],
      [15, 7,15, 0,19,30, 6,17, 0,13],
      [ 9,12,20,19, 0,11,30,18, 0, 2],
      [24,14, 1,30,11, 0, 1,29,29,13],
      [ 8, 2,19, 6,30, 1, 0,25,30,22],
      [30,26, 0,17,18,29,25, 0, 6,26],
      [29,19, 3, 0, 0,29,30, 6, 0,29],
      [16, 0,17,13, 2,13,22,26,29, 0]]
# opt = 34

W4 = [[ 0,26,41,59,26,60,71,22,12,30,32,42,51, 9,26,80, 3,92,73,49],
      [26, 0,58,24,46,96,55,52,23,49,62,68,40,37,98, 4,88,91,79,10],
      [41,58, 0,26,34,68,14,72,11,65,49,78,71,90,89,34,70,20, 4,74],
      [59,24,26, 0,50,48,90,61,62,86,80,58,19,24,88, 3,49,17,97,71],
      [26,46,34,50, 0,50,47, 6,68, 5, 8,52,10,81,81,72,15,66,52,97],
      [60,96,68,48,50, 0,65,80,45,43,82, 9,14,18,39,83,80, 6,40,53],
      [71,55,14,90,47,65, 0,42,66,63,29,43, 2,98,17,11,37,20,49,34],
      [22,52,72,61, 6,80,42, 0,95,92, 6,74,27,42,55,94,42,98,30,70],
      [12,23,11,62,68,45,66,95, 0,66,54,70,66,18,13,99,17, 4,56,88],
      [30,49,65,86, 5,43,63,92,66, 0,67,19,37,46,98,16,85,64,38,19],
      [32,62,49,80, 8,82,29, 6,54,67, 0,43,48,12,59,23,39,58,25,29],
      [42,68,78,58,52, 9,43,74,70,19,43, 0,62,27,82,98,73,35,58,11],
      [51,40,71,19,10,14, 2,27,66,37,48,62, 0,90,88,81,26,59, 3,43],
      [ 9,37,90,24,81,18,98,42,18,46,12,27,90, 0,31,16,18,42,10,60],
      [26,98,89,88,81,39,17,55,13,98,59,82,88,31, 0,47,69,70,64, 4],
      [80, 4,34, 3,72,83,11,94,99,16,23,98,81,16,47, 0, 7,32,53,65],
      [ 3,88,70,49,15,80,37,42,17,85,39,73,26,18,69, 7, 0,41,82,72],
      [92,91,20,17,66, 6,20,98, 4,64,58,35,59,42,70,32,41, 0,96,53],
      [73,79, 4,97,52,40,49,30,56,38,25,58, 3,10,64,53,82,96, 0,33],
      [49,10,74,71,97,53,34,70,88,19,29,11,43,60, 4,65,72,53,33, 0]]
# opt = 164
